tweet_id,created_at,user,full_text,favorite_count,retweet_count,hashtags
1.6641821031587963e+18,2023-06-01 08:08:27+00:00,Lockwood1494,"So LockNation. 
What is your favourite stunt/fight sequence? 
#SaveLockwoodandCo #RapiersReady https://t.co/wxqggtgMvh",0.0,0.0,#RapiersReady
1.6641818134246646e+18,2023-06-01 08:07:17+00:00,GoodOmen6,RT @Thebiscuitrule: What? Who questions their chemistry? I will take their guide dog off them as punishment for uttering such heresy! #Rapi…,0.0,1.0,#RapiersReady
1.664181448281129e+18,2023-06-01 08:05:50+00:00,Lockwood1494,"RT @Thebiscuitrule: In honour of todays #RapiersReady how can we not bring Cameron's little rapier scribble out to play. Or sorry, his lawn…",0.0,3.0,#RapiersReady
1.6641814111405793e+18,2023-06-01 08:05:42+00:00,Lockwood1494,RT @Thebiscuitrule: Oh god the sadness captured in that second pic with the tear slowly trickling down her cheek. Makes me tear up everytim…,0.0,1.0,#RapiersReady
1.664180954653442e+18,2023-06-01 08:03:53+00:00,lobotomyllamb,"RT @AlinchenBee: I'm so proud of LockNation!🥹
#SaveLockwoodandCo 
#RapiersReady",0.0,3.0,#RapiersReady
1.6641808777299558e+18,2023-06-01 08:03:34+00:00,lobotomyllamb,"RT @SaskeTheJagerin: I didn't doubt it one second!
Lockwood&amp;co at the top of the list with the most votes!
#SaveLockwoodandCo #RapiersReady",0.0,3.0,#RapiersReady
1.6641808098493522e+18,2023-06-01 08:03:18+00:00,lobotomyllamb,"RT @Lockwood1494: Lockwood and co been compared to the X-Flies. 
#SaveLockwoodandCo #RapiersReady",0.0,1.0,#RapiersReady
1.6641807820577915e+18,2023-06-01 08:03:12+00:00,Lockwood1494,"RT @lockwoodandco13: We did it, LockNation! We are in the top!! I'm so proud 🥺🥰 Thanks to everyone for voting!
#SaveLockwoodandCo #RapiersR…",0.0,6.0,#RapiersReady
1.6641806172468306e+18,2023-06-01 08:02:32+00:00,Lockwood1494,"Lockwood and co been compared to the X-Flies. 
#SaveLockwoodandCo #RapiersReady https://t.co/v7urfoLhla",1.0,1.0,#RapiersReady
1.6641802050978202e+18,2023-06-01 08:00:54+00:00,Thebiscuitrule,What? Who questions their chemistry? I will take their guide dog off them as punishment for uttering such heresy! #RapiersReady #SaveLockwoodandCo https://t.co/0glF7iawKS,3.0,1.0,#RapiersReady
1.664179541307261e+18,2023-06-01 07:58:16+00:00,CreatureBuff,"@Thebiscuitrule All movies &amp; show have errors. Some I ignore, some annoy me. It's a testament to everybody behind L&amp;Co that the number of errors is comparatively small &amp; they're hard to spot. But even the wonderful people of CF are just human. Mistakes happen. #RapiersReady #SaveLockwoodandCo",0.0,0.0,#RapiersReady
1.6641790677158339e+18,2023-06-01 07:56:23+00:00,Lockwood1494,"RT @SaskeTheJagerin: I didn't doubt it one second!
Lockwood&amp;co at the top of the list with the most votes!
#SaveLockwoodandCo #RapiersReady",0.0,3.0,#RapiersReady
1.6641787587087852e+18,2023-06-01 07:55:09+00:00,Lockwood1494,"RT @AlinchenBee: I'm so proud of LockNation!🥹
#SaveLockwoodandCo 
#RapiersReady",0.0,3.0,#RapiersReady
1.664178718766424e+18,2023-06-01 07:55:00+00:00,Lockwood1494,"RT @aDEPRACofficial: Good morning LockNation, we are winners! 🔥🔥

The perfect boost to start off a Thursday!

⚔️❤️⚔️

#SaveLockwoodandCo #R…",0.0,5.0,#RapiersReady
1.664178258785751e+18,2023-06-01 07:53:10+00:00,caitielouise,"Didn't really have much of a chance to tweet today but I've been reading through all the posts of everyone's favourite cinematography shots and it's made me want to rewatch the show again, so that's my plan for the rest of the night 😊 #SaveLockwoodandCo #RapiersReady",0.0,0.0,#RapiersReady
